GeneID,Chr,up,down,ori
CSS0004431,1,4422983,4429104,-
CSS0050291,1,4449730,4452621,+
CSS0037513,1,4531064,4575248,+
CSS0029529,1,4577128,4590042,+
CSS0015163,1,4607454,4614150,+
CSS0009404,1,4649166,4654351,+
CSS0043062,1,4655400,4659389,+
CSS0002043,1,4660889,4664057,-
CSS0005756,1,4694489,4698346,+
CSS0025571,1,4698570,4703601,-
CSS0029241,1,4709308,4709886,-
CSS0008679,1,4744264,4752587,+
CSS0045720,1,4799894,4800597,-
CSS0038704,1,5038539,5040158,-
CSS0023528,1,5140170,5153875,+
CSS0035627,1,5158241,5164921,+
CSS0042630,1,5166755,5173987,+
CSS0013114,1,5175094,5180087,-
CSS0032014,1,5200288,5201262,-
CSS0020820,1,5225002,5228114,-
CSS0018833,1,5248419,5249437,-
CSS0039737,1,5358366,5361952,+
CSS0003787,1,5363469,5366691,-
CSS0017220,1,5454091,5460753,+
CSS0049788,1,5733092,5743061,+
CSS0048139,1,5746635,5754119,+
CSS0045496,1,5818341,5831909,-
CSS0035122,1,5871605,5872924,+
CSS0041720,1,5919074,5938271,+
CSS0009254,1,5954807,5959006,+
CSS0006900,1,5970819,5973553,+
CSS0004368,1,6036493,6040300,-
CSS0013362,1,6060198,6060732,+
CSS0010754,1,6109548,6110258,+
CSS0025030,1,6120244,6120417,+
CSS0034254,1,6166476,6168230,+
CSS0019027,1,6190111,6232536,+
CSS0035132,1,6233292,6239608,-
CSS0001153,1,6250275,6253391,+
CSS0036206,1,6255072,6256416,+
CSS0031594,1,6272342,6282902,-
CSS0041231,1,6283527,6297750,-
CSS0033981,1,6311341,6312841,+
CSS0050159,1,6316544,6332006,+
CSS0038895,1,6352528,6354483,+
CSS0015914,1,6356584,6364959,-
CSS0026576,1,6432087,6435442,-
CSS0019117,1,6436994,6440658,+
CSS0004654,1,6567280,6569223,-
CSS0034962,1,6864361,6864864,+
CSS0022653,1,6955900,6956390,-
CSS0013585,1,6960248,6961067,-
CSS0023030,1,7181651,7182154,+
CSS0002342,1,7334944,7336086,-
CSS0000467,1,7378492,7379857,-
CSS0018771,1,7573051,7577844,+
CSS0024755,1,7601499,7601752,-
CSS0042133,1,7668002,7671379,-
CSS0013340,1,7759582,7760203,+
CSS0049062,1,7886265,7887505,+
CSS0018904,1,7988821,7989588,-
CSS0011030,1,7997101,8000133,-
CSS0004062,1,8013917,8016982,+
CSS0043379,1,8126681,8127418,-
CSS0022727,1,8142112,8143697,+
CSS0021857,1,8156133,8162711,+
CSS0042396,1,8184284,8185868,+
CSS0034724,1,8273446,8276783,-
CSS0043971,1,8493712,8494302,-
CSS0014982,1,8886063,8887864,-
CSS0034226,1,8933338,8944412,-
CSS0003098,1,8972972,8975080,+
CSS0045692,1,9082344,9082868,-
CSS0023327,1,9100757,9101971,+
CSS0039021,1,9142320,9144478,+
CSS0049123,1,9147986,9153513,-
CSS0007944,1,9158181,9162218,-
CSS0026566,1,9184627,9187487,-
CSS0050322,1,9228261,9234917,-
CSS0043994,1,9282292,9287677,-
CSS0034519,1,9362907,9365263,+
CSS0018866,1,9433943,9436059,-
CSS0022210,1,9452705,9453586,+
CSS0007351,1,9521860,9531395,-
CSS0023519,1,9536076,9539380,-
CSS0032076,1,9558676,9561430,-
CSS0035099,1,9602894,9609946,-
CSS0035771,1,9655485,9661250,-
CSS0034744,1,9671711,9672616,+
CSS0041362,1,9682756,9698191,-
CSS0031479,1,9866579,9867368,-
CSS0038152,1,9906893,9910675,-
CSS0049705,1,10106234,10109604,-
CSS0016951,1,10342140,10345815,-
CSS0045032,1,10401522,10404017,+
CSS0030146,1,10462596,10464426,-
CSS0029281,1,10629656,10636453,-
CSS0036906,1,10802980,10805130,-
CSS0042597,1,10819031,10820786,-
CSS0038932,1,10822103,10839790,-
CSS0014976,1,10859123,10860067,+
CSS0036302,1,11002781,11020547,-
CSS0037063,1,11081497,11092441,-
CSS0013838,1,11096062,11096455,-
CSS0048397,1,11098832,11100028,-
CSS0034459,1,11100098,11101000,-
CSS0017622,1,11108280,11115449,-
CSS0008678,1,11130530,11134927,-
CSS0040721,1,11277343,11285416,-
CSS0032971,1,11291116,11294774,-
CSS0017252,1,11413661,11414407,-
CSS0046925,1,11416260,11417606,-
CSS0032881,1,11512475,11516196,-
CSS0019422,1,11556969,11557594,-
CSS0025813,1,11561185,11568403,-
CSS0043533,1,11593594,11604715,+
CSS0040419,1,11664289,11671062,+
CSS0000792,1,11689528,11701301,+
CSS0050484,1,11719753,11726852,-
CSS0035441,1,11736877,11739052,+
CSS0048558,1,11742034,11742954,-
CSS0015153,1,11745372,11748964,-
CSS0033136,1,11839085,11841047,-
CSS0045736,1,11882312,11885138,+
CSS0020922,1,11935673,11943542,+
CSS0022849,1,11946935,11961803,+
CSS0011244,1,11994334,11994919,-
CSS0045427,1,11997827,12004253,-
CSS0024163,1,12045594,12053986,+
CSS0047366,1,12106460,12108691,-
CSS0032039,1,12114358,12125209,-
CSS0003186,1,12237774,12238513,-
CSS0040951,1,12243733,12246536,-
CSS0018359,1,12257408,12259616,+
CSS0037157,1,12262058,12263557,-
CSS0006463,1,12269118,12283494,+
CSS0019796,1,12286339,12288021,-
CSS0046947,1,12337571,12355067,+
CSS0026431,1,12358193,12364216,+
CSS0004378,1,12405830,12414270,+
CSS0048467,1,12430305,12433880,-
CSS0021379,1,12454819,12455562,-
CSS0032251,1,12602225,12610105,+
CSS0034845,1,12631646,12635233,-
CSS0028055,1,12651407,12652419,-
CSS0015574,1,12814354,12817989,-
CSS0018603,1,12825086,12831262,-
CSS0008753,1,12835254,12836351,-
CSS0041589,1,12837808,12839239,-
CSS0007811,1,12873692,12874461,+
CSS0012567,1,12901233,12907123,-
CSS0003999,1,12976896,12978047,+
CSS0000442,1,12997936,12999889,+
CSS0045774,1,13005274,13006212,+
CSS0036059,1,13008265,13008864,+
CSS0044679,1,13062302,13070860,+
CSS0014996,1,13088806,13094698,+
CSS0050402,1,13099979,13102898,-
CSS0032188,1,13115543,13116975,+
CSS0033127,1,13158043,13158494,-
CSS0036051,1,13264952,13265404,-
CSS0022171,1,13288947,13299541,+
CSS0000116,1,13424203,13424967,+
CSS0003077,1,13489641,13490863,-
CSS0041399,1,13494034,13494660,-
CSS0001089,1,13501296,13504974,+
CSS0043968,1,13524316,13534761,-
CSS0039944,1,13550361,13556469,+
CSS0009909,1,13557324,13560325,-
CSS0019720,1,13574308,13584687,+
CSS0049709,1,13607413,13614523,+
CSS0034969,1,13614632,13618013,-
CSS0027891,1,13621151,13627478,-
CSS0021342,1,13683369,13692752,-
CSS0036632,1,13694393,13696776,-
CSS0020176,1,13712206,13714797,-
CSS0012373,1,13718775,13744986,+
CSS0011540,1,13745073,13745306,-
CSS0023072,1,13748453,13748941,-
CSS0034138,1,13749242,13754083,-
CSS0000169,1,13850237,13851311,+
CSS0023700,1,13852512,13855256,-
CSS0042589,1,13866466,13869863,+
CSS0031265,1,13900444,13909583,-
CSS0042973,1,13921830,13927929,+
CSS0047188,1,13929054,13931977,-
CSS0031708,1,13946043,13956403,+
CSS0009164,1,13976545,13983518,+
CSS0004896,1,13983669,13986758,-
CSS0015779,1,13990015,13997550,-
CSS0050380,1,14043771,14052921,-
CSS0005550,1,14054612,14056947,-
CSS0035326,1,14101844,14115097,+
CSS0023349,1,14115279,14115494,-
CSS0040338,1,14118787,14119275,-
CSS0000065,1,14119570,14124262,-
CSS0019235,1,14174510,14179104,-
CSS0014370,1,14202685,14204469,+
CSS0044866,1,14228859,14229723,+
CSS0048572,1,14274199,14277674,+
CSS0041359,1,14291166,14297816,+
CSS0036749,1,14308489,14310235,-
CSS0014554,1,14340629,14340862,-
CSS0020723,1,14420664,14421080,+
CSS0038839,1,14626266,14629826,-
CSS0050109,1,14704535,14707523,-
CSS0031127,1,14842380,14866880,-
CSS0044594,1,15086619,15087167,+
CSS0007226,1,15255189,15260027,+
CSS0040598,1,15281256,15288010,-
CSS0009565,1,15296054,15299224,+
CSS0042574,1,15300121,15300354,+
CSS0027742,1,15303881,15310890,+
CSS0022150,1,15311152,15313935,+
CSS0033098,1,15314800,15321344,-
CSS0050047,1,15324918,15336745,-
CSS0044625,1,15448313,15449816,-
CSS0032293,1,15562353,15562646,-
CSS0020823,1,15582315,15609274,+
CSS0007733,1,15623357,15631166,-
CSS0011196,1,15768663,15769894,-
CSS0015472,1,15882400,15883809,-
CSS0007255,1,15928137,15929468,-
CSS0008359,1,15944301,15944861,-
CSS0047847,1,15995379,15995939,-
CSS0029726,1,16058668,16060411,-
CSS0019011,1,16092728,16093534,+
CSS0005194,1,16095251,16096563,+
CSS0048693,1,16159472,16160464,+
CSS0020394,1,16198496,16199101,-
CSS0019479,1,16256748,16258112,-
CSS0044253,1,16353565,16354929,-
CSS0040800,1,16445195,16446423,-
CSS0019095,1,16540129,16542508,-
CSS0000389,1,16578744,16580087,-
CSS0031564,1,16678503,16683278,+
CSS0039738,1,16692977,16700168,-
CSS0002756,1,16745874,16747688,-
CSS0006260,1,16760718,16761582,-
CSS0040987,1,16762962,16763423,-
CSS0038830,1,16764601,16765404,-
CSS0031179,1,16770960,16771736,+
CSS0019509,1,16774153,16776897,+
CSS0035600,1,16799859,16816746,-
CSS0015422,1,16854893,16859067,+
CSS0044059,1,16870720,16871796,-
CSS0045052,1,16888741,16893738,+
CSS0031915,1,16921255,16923103,-
CSS0048479,1,16941727,16942591,-
CSS0048056,1,16943969,16944430,-
CSS0017353,1,16945620,16946423,-
CSS0047586,1,16950543,16953131,+
CSS0021443,1,16977663,16988297,-
CSS0046856,1,17074021,17078275,-
CSS0047502,1,17092343,17110132,-
CSS0001130,1,17176010,17179634,+
CSS0013833,1,17186557,17195360,-
CSS0028406,1,17233273,17254908,-
CSS0007817,1,17307327,17311055,+
CSS0020257,1,17316402,17333406,+
CSS0038722,1,17337911,17344706,+
CSS0010043,1,17344728,17349540,+
CSS0005185,1,17361257,17363668,+
CSS0009425,1,17371884,17376678,-
CSS0039280,1,17394932,17397711,+
CSS0035486,1,17437813,17443504,-
CSS0040872,1,17478255,17480002,+
CSS0018543,1,17490912,17506394,+
CSS0020846,1,17511003,17521630,+
CSS0009082,1,17554706,17562584,-
CSS0048393,1,17563704,17566474,+
CSS0036719,1,17567097,17582255,-
CSS0024824,1,17619012,17624362,-
CSS0041510,1,17685837,17691290,-
CSS0034951,1,17807377,17813899,+
CSS0015621,1,17828104,17844825,+
CSS0033838,1,17909399,17909803,+
CSS0035481,1,17949697,17964496,+
CSS0004401,1,17969161,17969656,+
CSS0025253,1,17978564,17982017,+
CSS0035145,1,18028988,18032759,+
CSS0002390,1,18102740,18112573,+
CSS0033081,1,18142461,18151951,-
CSS0027212,1,18170293,18171331,-
CSS0009737,1,18181610,18181792,+
CSS0030750,1,18267826,18275576,+
CSS0005417,1,18298706,18300987,+
CSS0036683,1,18312057,18312521,-
CSS0018144,1,18318026,18323884,+
CSS0028096,1,18326921,18332120,+
CSS0030755,1,18332599,18338646,-
CSS0041539,1,18367613,18374016,-
CSS0046325,1,18419361,18424002,+
CSS0031958,1,18433368,18434189,+
CSS0003217,1,18468184,18468997,-
CSS0024221,1,18471112,18475588,-
CSS0033737,1,18480322,18483485,-
CSS0028582,1,18566557,18583136,+
CSS0033720,1,18585224,18592649,-
CSS0001760,1,18674269,18676394,-
CSS0027147,1,18738951,18741782,-
CSS0021706,1,18762426,18767953,-
CSS0018711,1,18862785,18877165,-
CSS0034790,1,18923577,18931021,-
CSS0033158,1,18933936,18939290,-
CSS0002849,1,19013071,19027467,+
CSS0002562,1,19041935,19056797,+
CSS0040875,1,19047232,19047915,-
CSS0039315,1,19084303,19084782,+
CSS0039327,1,19096158,19097781,+
CSS0002523,1,19103298,19104248,-
CSS0003817,1,19116898,19122328,-
CSS0045520,1,19125511,19151496,-
CSS0018584,1,19161223,19169823,-
CSS0047859,1,19171799,19176133,-
CSS0041378,1,19200516,19200983,-
CSS0022262,1,19238577,19238818,-
CSS0030289,1,19266839,19267245,+
CSS0044686,1,19268151,19274570,-
CSS0026842,1,19312637,19312804,-
CSS0006346,1,19503331,19511160,+
CSS0049751,1,19539057,19543704,+
CSS0048192,1,19549973,19550672,+
CSS0010364,1,19554108,19557654,+
CSS0041886,1,19558191,19558915,+
CSS0024991,1,19559479,19572218,-
CSS0036920,1,19575327,19579357,-
CSS0022021,1,19614763,19615652,-
CSS0023051,1,19688341,19705660,+
CSS0003969,1,19706448,19711501,-
CSS0031267,1,19733623,19742555,-
CSS0002021,1,19748825,19750196,+
CSS0024838,1,19846976,19848293,-
CSS0039716,1,19854671,19856019,-
CSS0021387,1,19957262,19959185,+
CSS0014906,1,19964043,19975685,+
CSS0024191,1,19982586,19982765,+
CSS0000191,1,19983991,19984394,+
CSS0004023,1,20081672,20082391,+
CSS0002547,1,20085657,20087128,-
CSS0015620,1,20090782,20105833,-
CSS0049575,1,20121543,20128785,-
CSS0010367,1,20156946,20160986,-
CSS0002591,1,20211324,20216153,+
CSS0007064,1,20216936,20224004,-
CSS0012048,1,20230168,20233367,-
CSS0017262,1,20262700,20270227,+
CSS0013732,1,20309330,20317764,+
CSS0045225,1,20395536,20399601,+
CSS0007340,1,20491809,20495885,+
CSS0028526,1,20555338,20558296,+
CSS0046894,1,20567315,20568005,-
CSS0014649,1,20581061,20581282,-
CSS0017911,1,20592048,20594474,-
CSS0030208,1,20608757,20609200,-
CSS0014623,1,20654719,20656218,+
CSS0037003,1,20657313,20660640,-
CSS0000392,1,20707920,20708393,+
CSS0035091,1,20711696,20767038,-
CSS0018972,1,20778124,20786196,+
CSS0015038,1,20789073,20793381,-
CSS0042054,1,20795162,20795613,-
CSS0043401,1,20822368,20823600,+
CSS0012183,1,20914959,20918006,+
CSS0024640,1,20938150,20939038,+
CSS0044728,1,20962987,20968902,+
CSS0037773,1,20975493,20984557,+
CSS0029358,1,20984728,20988685,-
CSS0041673,1,21016711,21022897,+
CSS0026294,1,21029130,21039273,+
CSS0001595,1,21084132,21089024,+
CSS0011231,1,21098296,21126929,-
CSS0049621,1,21140033,21162173,+
CSS0009139,1,21301420,21302541,+
CSS0048737,1,21350154,21350497,-
CSS0016656,1,21351035,21351476,+
CSS0047243,1,21433079,21435544,-
CSS0009362,1,21465588,21468731,-
CSS0015563,1,21606984,21620074,+
CSS0043642,1,21623498,21636369,+
CSS0018507,1,21644696,21646010,+
CSS0024672,1,21646830,21652723,+
CSS0049554,1,21655679,21657761,-
CSS0000219,1,21666205,21675841,-
CSS0035756,1,21685993,21691186,-
CSS0039592,1,21747806,21749068,+
CSS0025800,1,21840689,21854256,+
CSS0012304,1,21868351,21871039,+
CSS0034680,1,21879600,21880905,+
CSS0009934,1,21881725,21887616,+
CSS0006653,1,21890084,21891989,-
CSS0023989,1,21917398,21922599,-
CSS0028619,1,21930909,21944254,-
CSS0038209,1,21976961,21978196,-
CSS0022533,1,22043455,22055326,+
CSS0049359,1,22055911,22066357,-
CSS0034334,1,22088656,22093508,-
CSS0043906,1,22097696,22123560,-
CSS0046829,1,22126077,22140661,-
CSS0044970,1,22156111,22169426,-
CSS0031740,1,22187038,22193200,-
CSS0049922,1,22195061,22196940,-
CSS0036061,1,22320479,22320821,-
CSS0003608,1,22668554,22686986,-
CSS0040225,1,22783632,22787572,+
CSS0025760,1,22802098,22802706,-
CSS0047322,1,22824174,22835373,+
CSS0000246,1,22915554,22921025,-
CSS0027993,1,22951259,22952756,-
CSS0016673,1,23091466,23099077,+
CSS0033258,1,23124262,23126141,+
CSS0043711,1,23128030,23134179,+
CSS0006864,1,23147211,23162531,+
CSS0026746,1,23177862,23192308,+
CSS0050472,1,23195025,23211642,+
CSS0019450,1,23215546,23215878,+
CSS0017692,1,23228419,23231277,+
CSS0037701,1,23242179,23253762,+
CSS0028910,1,23254366,23266346,-
CSS0010374,1,23351638,23354544,+
CSS0043967,1,23415624,23418186,-
CSS0026127,1,23473183,23475306,+
CSS0050516,1,23477030,23485226,-
CSS0039516,1,23522013,23522472,-
CSS0032492,1,23525587,23526562,-
CSS0010994,1,23531915,23537575,-
CSS0019082,1,23609205,23611852,-
CSS0020467,1,23633805,23638765,-
CSS0047233,1,23713235,23715386,+
CSS0041857,1,23716229,23723216,-
CSS0017992,1,23730069,23730548,+
CSS0014902,1,23812862,23834703,-
CSS0003168,1,23954286,23967282,+
CSS0013012,1,23972097,23976153,-
CSS0019567,1,23996168,24018749,-
CSS0040092,1,24084159,24084477,-
CSS0030245,1,24154310,24154525,-
CSS0040010,1,24197892,24208240,-
CSS0028612,1,24221474,24229349,+
CSS0021534,1,24248501,24258358,+
CSS0040445,1,24278390,24279707,+
CSS0029899,1,24282766,24291584,+
CSS0042050,1,24292133,24292618,+
CSS0049406,1,24297753,24306250,+
CSS0036351,1,24312948,24324298,+
CSS0045417,1,24326437,24330360,-
CSS0009660,1,24358963,24363789,+
CSS0014447,1,24364969,24380050,-
CSS0002693,1,24486970,24493627,+
CSS0041014,1,24496331,24503800,+
CSS0012201,1,24504452,24511583,-
CSS0032920,1,24539278,24561339,+
CSS0039547,1,24643836,24645239,+
CSS0048174,1,24648573,24653907,+
CSS0005004,1,24654271,24654756,+
CSS0008191,1,24661719,24670295,+
CSS0025505,1,24673479,24680482,+
CSS0019421,1,24682650,24686527,-
CSS0048453,1,24714228,24719203,+
CSS0018774,1,24720434,24733687,-
CSS0038783,1,24841734,24848874,+
CSS0020776,1,24850583,24860821,+
CSS0011254,1,24861540,24865703,-
CSS0021401,1,24887088,24907458,+
CSS0009141,1,25027031,25048875,+
CSS0023256,1,25052733,25053419,-
CSS0046329,1,25133386,25136199,-
CSS0040311,1,25174889,25180190,-
CSS0005356,1,25185222,25189584,-
CSS0047954,1,25306798,25309086,+
CSS0006098,1,25312822,25335450,+
CSS0031665,1,25340523,25341620,+
CSS0009421,1,25348049,25351349,-
CSS0000347,1,25356540,25360446,-
CSS0036050,1,25394297,25395162,+
CSS0024730,1,25399998,25404951,-
CSS0002369,1,25410214,25413979,-
CSS0043284,1,25440536,25444566,-
CSS0003658,1,25505510,25506898,-
CSS0031698,1,25584579,25586562,-
CSS0047319,1,25633790,25635413,-
CSS0017267,1,25697488,25700961,+
CSS0019699,1,25701975,25707664,-
CSS0030175,1,25714417,25714873,+
CSS0021743,1,25739317,25740474,+
CSS0027078,1,25740633,25745735,-
CSS0046087,1,25778792,25784333,+
CSS0030813,1,25815406,25816525,-
CSS0018656,1,25892911,25906148,-
CSS0000600,1,25997454,26010956,+
CSS0030500,1,26018649,26029778,+
CSS0019201,1,26039958,26048103,+
CSS0046133,1,26052864,26054707,+
CSS0042771,1,26057944,26059332,+
CSS0042486,1,26081809,26093460,+
CSS0015971,1,26099760,26113780,+
CSS0042658,1,26174103,26178326,+
CSS0004742,1,26179754,26182660,-
CSS0026153,1,26213132,26218838,+
CSS0024070,1,26223800,26224782,+
CSS0036164,1,26230732,26232157,+
CSS0014372,1,26245801,26246109,+
CSS0000390,1,26288149,26288905,+
CSS0021223,1,26319064,26326777,+
CSS0004826,1,26355316,26356284,+
CSS0016169,1,26485295,26493484,-
CSS0038037,1,26508322,26509521,-
CSS0043048,1,26513999,26515187,-
CSS0042461,1,26658253,26660490,+
CSS0019745,1,26697540,26700173,+
CSS0048179,1,26700199,26700974,+
CSS0015977,1,26705994,26714420,-
CSS0008531,1,26719417,26735409,-
CSS0022007,1,26769598,26774523,+
CSS0046155,1,26776962,26777235,-
CSS0036524,1,26777520,26794145,-
CSS0035906,1,26803387,26806647,-
CSS0000046,1,26815924,26822084,-
CSS0024140,1,26850042,26853372,-
CSS0031807,1,26856249,26857380,-
CSS0002854,1,26905687,26915418,+
CSS0025388,1,26916127,26921100,-
CSS0019329,1,26949507,26954463,-
CSS0042515,1,26959485,26960987,-
CSS0049145,1,27050075,27055422,-
CSS0011702,1,27384232,27385389,+
CSS0000591,1,27724400,27725442,-
CSS0012192,1,27747582,27748484,+
CSS0024740,1,27769056,27772807,+
CSS0027299,1,27781320,27781784,+
CSS0047429,1,27811356,27811850,+
CSS0009341,1,27841535,27842005,+
CSS0034078,1,27878710,27879210,+
CSS0007023,1,27965106,27966236,-
CSS0031462,1,28014557,28020173,+
CSS0001235,1,28107793,28109400,+
CSS0040652,1,28132311,28137432,-
CSS0018653,1,28140193,28144223,-
CSS0011843,1,28217008,28218255,+
CSS0010618,1,28244990,28251527,+
CSS0003146,1,28320464,28322316,-
CSS0018793,1,28367481,28368065,+
CSS0019430,1,28376420,28378627,+
CSS0037953,1,28631501,28633268,+
CSS0017247,1,28767699,28771571,-
CSS0038928,1,28801888,28802118,+
CSS0035747,1,29159996,29160181,-
CSS0029090,1,29171812,29172653,-
CSS0036357,1,29253938,29254132,+
CSS0018661,1,29346226,29348350,+
CSS0018512,1,29362064,29367294,+
CSS0023400,1,29371237,29376902,+
CSS0020270,1,29377268,29379265,-
CSS0037407,1,29381933,29390227,-
CSS0041204,1,29445041,29445756,-
CSS0037058,1,29482393,29492123,-
CSS0007857,1,29552358,29554543,-
CSS0020373,1,29657497,29666984,+
CSS0043084,1,29683206,29688751,+
CSS0045683,1,29724311,29730659,+
CSS0040583,1,29744224,29754085,+
CSS0010319,1,29924263,29930753,+
CSS0007941,1,30049273,30051636,+
CSS0042327,1,30060506,30063275,+
CSS0019976,1,30065356,30069191,-
CSS0032139,1,30129821,30141411,-
CSS0001413,1,30171788,30171970,+
CSS0019305,1,30212607,30213710,+
CSS0013409,1,30377481,30377962,+
CSS0017369,1,30433377,30439782,+
CSS0004294,1,30439583,30449839,-
CSS0012733,1,30560115,30561587,-
CSS0008746,1,30624936,30629926,+
CSS0047000,1,30649448,30651406,-
CSS0042521,1,30803930,30804124,-
CSS0020268,1,30958860,30968947,+
CSS0043092,1,30973149,30974513,-
CSS0002777,1,30988971,30991442,-
CSS0035590,1,30992066,30995694,+
CSS0043240,1,31071516,31080960,+
CSS0023900,1,31085204,31085968,-
CSS0041552,1,31094204,31098195,-
CSS0016735,1,31100856,31104126,-
CSS0039054,1,31104831,31108186,+
CSS0043255,1,31180680,31183180,-
CSS0031664,1,31210267,31210466,+
CSS0042935,1,31225060,31225461,+
CSS0036343,1,31230894,31231923,-
CSS0025701,1,31346079,31347184,+
CSS0019529,1,31370750,31373799,+
CSS0044265,1,31380809,31391024,-
CSS0041660,1,31417018,31419084,+
CSS0040781,1,31465793,31466650,+
CSS0018557,1,31564264,31565736,+
CSS0033640,1,31648128,31665847,+
CSS0007728,1,31695316,31700571,-
CSS0049537,1,31703049,31705776,+
CSS0013546,1,31710339,31723939,-
CSS0002569,1,31764576,31774466,-
CSS0028733,1,31841061,31842055,+
CSS0005230,1,31847310,31853994,+
CSS0012131,1,31903499,31907171,+
CSS0048341,1,31907869,31915554,-
CSS0026019,1,31952401,31962662,-
CSS0042922,1,31976126,31988786,+
CSS0018770,1,31990027,31992457,-
CSS0019990,1,32001673,32004042,-
CSS0046606,1,32027373,32034221,+
CSS0047983,1,32335411,32338181,+
CSS0012264,1,32395779,32396450,-
CSS0017304,1,32621956,32624286,+
CSS0024232,1,32724691,32726212,+
CSS0013536,1,32737560,32738285,+
CSS0047674,1,32846706,32847564,-
CSS0042294,1,33376089,33378439,+
CSS0032149,1,33380846,33383669,-
CSS0046420,1,33405068,33409090,-
CSS0001174,1,33413495,33414032,+
CSS0026979,1,33448198,33451265,-
CSS0034781,1,33525638,33533809,-
CSS0050415,1,33616304,33617853,+
CSS0021287,1,33702014,33703838,-
CSS0034687,1,33726840,33728661,-
CSS0032256,1,33763477,33764237,-
CSS0030646,1,33771672,33772151,-
CSS0001680,1,33797130,33798975,-
CSS0034429,1,33870019,33870486,-
CSS0026433,1,33883986,33884889,-
CSS0037572,1,33933510,33934460,-
CSS0025939,1,33940534,33941099,+
CSS0012411,1,33949479,33950636,-
CSS0027184,1,33952372,33953664,-
